nom,PDC,latitude,longitude,capacite,horaires,quantite,derniere collecte,requete
DE L'AUTRE CÔTE DE LA RUE, DE L'AUTRE CÔTE DE LA RUE PDC-026,45.756448,4.8430183,10.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",9,2021-06-29,0
BIOCOOP AU P'TIT BIONHEUR, BIOCOOP AU P'TIT BIONHEUR PDC-027,45.5259174,4.6083249,24.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",13,2022-11-25,1
BOULANGERIE TATUP, BOULANGERIE TATUP PDC-029,45.9729539,5.352279,40.0,"[[26, 32], [50, 56], [74, 80], [98, 104], [122, 128]]",4,2022-06-07,0
BIOCOOP SAXE GAMBETTA, BIOCOOP SAXE GAMBETTA PDC-031,45.7526794,4.8464976,14.0,"[[8, 18], [32, 42], [56, 66], [80, 90], [104, 114], [128, 138], [152, 162]]",8,2022-12-21,1
BIOCOOP LUMIERE, BIOCOOP LUMIERE PDC-032,45.7448492,4.8668437,14.0,"[[7, 8.5], [9, 18], [31, 32.5], [33, 42], [55, 56.5], [57, 66], [79, 80.5], [81, 90], [103, 104.5], [105, 114], [127, 128.5], [129, 138], [151, 152.5], [153, 162]]",11,2022-12-19,0
AU COMPTOIR DE BETTY, AU COMPTOIR DE BETTY PDC-035,45.7827661,4.707723,12.0,"[[9, 14], [16, 19], [33, 38], [40, 43], [57, 62], [64, 67], [105, 110], [112, 115], [129, 133], [135.5, 139], [153, 156.5]]",5,2022-12-06,0
BIOCOOP TERREAUX, BIOCOOP TERREAUX PDC-038,45.767359,4.8310335,20.0,"[[9, 18], [33, 42], [57, 66], [81, 90], [105, 114], [129, 138], [153, 162]]",5,2022-12-13,0
EPI C'EST BON, EPI C'EST BON PDC-040,45.7374578,4.8871705,5.0,"[[58, 67], [88, 91], [105, 110]]",4,2022-05-03,0
BIOCOOP GRATTE-CIEL,BIOCOOP GRATTE-CIEL PDC-041,45.7694017,4.8808049,24.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 163.5]]",3,2022-12-19,0
VIRAGE SEPT BRASSERIE, VIRAGE SEPT BRASSERIE PDC-043,45.8306222,4.6132988,21.0,"[[35, 45], [59, 69], [83, 93], [107, 119], [131, 143]]",14,2022-11-22,0
LA P'TITE DISTRIB', LA P'TITE DISTRIB' (GRAP) PDC-044,45.7434546,4.8346996,12.0,"[[10, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]",0,2023-01-06,0
VRAC EN VERT, VRAC EN VERT PDC-045,45.4389411,4.392083,12.0,"[[13, 19], [33.5, 43], [57.5, 67], [81.5, 91], [105.5, 115], [129.5, 139]]",5,2022-12-16,0
BIOCOOP LES ARTISONS, BIOCOOP LES ARTISONS PDC-046,45.390511,4.2762888,20.0,"[[14, 19], [33, 43], [57, 67], [81, 91], [105, 115], [129, 138]]",7,2022-12-16,0
BIOCOOP ANDREZIEUX (BIOCOCCINELLE), BIOCOOP ANDREZIEUX (BIOCOCCINELLE) PDC-047,45.5331756,4.2863538,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",19,2022-11-25,1
BIOCOOP LES ARCADES, BIOCOOP LES ARCADES PDC-049,45.4402292,4.3867733,12.0,"[[12, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129.5, 139.5]]",7,2022-12-16,0
L'EPICERIE DE LEONIE, L'EPICERIE DE LEONIE PDC-050,45.8066949,4.8893931,12.0,"[[40, 43.5], [64, 67.5], [88, 91.5], [111, 115.5], [128.5, 139.5]]",8,2022-11-23,0
BIOCOOP FOREZ BIO, BIOCOOP FOREZ BIO PDC-051,45.6107723,4.0965493,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",9,2022-12-16,0
BIOCOOP LE MONDE ALLANT VERT, BIOCOOP LE MONDE ALLANT VERT (VILLEFRANCHE) PDC-053,45.9842214,4.742697,40.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",32,2022-10-12,0
UN GRAIN DANS LE GRENIER, UN GRAIN DANS LE GRENIER (GRAP) PDC-054,45.7763659,4.8329949,4.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",4,2022-11-24,0
LA PORTION, LA PORTION PDC-055,45.4517105,4.3826823,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",6,2022-11-04,0
BIOCOOP LE PETIT VERT, BIOCOOP LE PETIT VERT PDC-056,46.0674114,4.0507627,35.0,"[[9, 14.5], [33, 42], [57, 66], [81, 90], [105, 114], [129, 138], [153, 162]]",1,2022-12-16,0
BIOCOOP CHAZELLES, BIOCOOP CHAZELLES PDC-057,45.6379867,4.3894748,30.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",1,2023-01-06,0
BIOCOOP VALMY, BIOCOOP VALMY PDC-058,45.7756018,4.8037413,20.0,"[[6.5, 19.5], [30.5, 43.5], [54.5, 67.5], [78.5, 86], [87.5, 91.5], [102.5, 115.5], [126.5, 139.5]]",14,2022-12-13,1
BIOCOOP SORBIERS, BIOCOOP SORBIERS PDC-059,45.4806724,4.4443058,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-06,0
BIOCOOP CONFLUENCE, BIOCOOP CONFLUENCE PDC-060,45.7459212,4.8232943,15.0,"[[8.5, 9], [32.5, 33], [56.5, 57], [80.5, 81], [104.5, 105], [128.5, 129], [152.5, 153]]",9,2022-12-09,1
BIOCOOP AU GRAND BIONHEUR, BIOCOOP AU GRAND BIONHEUR PDC-061,45.459408,4.489695,24.0,"[[14, 19], [33, 36.5], [38, 43], [57, 67], [81, 84.5], [86, 91], [105, 115], [129, 139]]",0,2023-01-06,0
BIOCOOP LE BARABAN, BIOCOOP LE BARABAN PDC-062,45.4696496,4.3652393,12.0,"[[14.5, 19], [33, 43], [57, 67], [81, 91], [105, 115], [129, 139]]",0,2023-01-06,0
BIOCOOP DU VAL D'AZERGUES, BIOCOOP DU VAL D'AZERGUES PDC-064,45.8568315,4.7039802,30.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]",20,2022-11-23,0
BIOCOOP DU GROS CAILLOU, BIOCOOP DU GROS CAILLOU PDC-065,45.7749549,4.8335813,18.0,"[[8, 9], [32, 33], [56, 57], [80, 81], [104, 105], [128, 129], [152, 153]]",17,2022-12-13,0
MON CABAS VERT, MON CABAS VERT PDC-066,45.7240322,4.9775483,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",7,2022-03-23,0
LA VIE CLAIRE CHARLIEU, LA VIE CLAIRE CHARLIEU PDC-070,46.1532627,4.15607273286814,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",8,2022-02-04,0
BIOCOOP MERMOZ, BIOCOOP MERMOZ PDC-071,45.7350081,4.8743164,20.0,"[[32, 42], [80, 90]]",15,2022-12-07,0
BIOCOOP JULES GUESDE, BIOCOOP JULES GUESDE PDC-072,45.7470273,4.8377929,12.0,"[[8, 14], [16, 19.5], [32, 38], [40, 43.5], [56, 62], [64, 67.5], [80, 86], [88, 91.5], [104, 110], [112, 115.5]]",6,2022-12-13,0
BIOCOOP VALSERINE, BIOCOOP VALSERINE PDC-073,46.12815445,5.8128477392148,50.0,"[[14.5, 18], [33.5, 42], [57.5, 66], [81.5, 90], [105, 114], [129, 138]]",36,2022-07-12,0
BIOCOOP BIOPLAISIR CRAPONNE, BIOCOOP BIOPLAISIR CRAPONNE PDC-074,45.74803315,4.74359339627283,12.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]",5,2022-12-20,0
BIOCOOP BIOPLAISIR TASSIN, BIOCOOP BIOPLAISIR TASSIN PDC-075,45.757844,4.7736983,12.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]",6,2022-12-20,0
BIOCOOP PORTE DES ALPES, BIOCOOP PORTE DES ALPES PDC-076,45.7256162,4.929976,20.0,"[[9.5, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129, 139]]",9,2023-01-02,0
BIOCOOP BIOPLAISIR OULLINS, BIOCOOP BIOPLAISIR OULLINS PDC-077,45.7153377,4.8082655,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",9,2022-11-24,0
L'EPICERIE DES HALLES, L'EPICERIE DES HALLES (GRAP) PDC-079,45.7683907,4.8295934,4.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",4,2022-11-24,0
BIOCOOP BIOGONE, BIOCOOP BIOGONE PDC-081,45.7740508,4.8699867,12.0,"[[13, 19.5], [33.5, 37], [39, 43.5], [57.5, 61], [63, 67.5], [81.5, 85], [87, 91.5], [105.5, 109], [111, 115.5], [129.5, 133], [135, 139.5]]",7,2022-12-20,0
BIOCOOP TOTEM, BIOCOOP TOTEM PDC-082,45.763529,4.8725306,12.0,"[[12, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129.5, 139.5]]",8,2022-12-16,0
BIOCOOP BEYNOST (LA BIO SEREINE), BIOCOOP BEYNOST (LA BIO SEREINE) PDC-083,45.8262854,4.9991231,40.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",11,2022-12-13,0
BIOCOOP TERRA NAT, BIOCOOP TERRA NAT (MEXIMIEUX) PDC-084,45.9016051,5.1994242,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",12,2022-12-13,0
MES BIERES PRECIEUSES, MES BIERES PRECIEUSES PDC-085,45.8732697,4.8175453,30.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",24,2022-09-13,0
SATORIZ SAINT-ETIENNE, SATORIZ SAINT-ETIENNE PDC-087,45.443142,4.4241536,40.0,"[[8.5, 19.5], [32.5, 43.5], [56.5, 67.5], [80.5, 91.5], [104.5, 115.5], [128.5, 139.5]]",1,2023-01-06,0
CARIBREW, CARIBREW PDC-088,45.688383,4.7016421,60.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",34,2022-11-14,0
BIOCOOP KENNEDY, BIOCOOP KENNEDY PDC-090,46.2062855,5.240692,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",20,2022-10-25,0
BIOCOOP MAURICETTE, BIOCOOP MAURICETTE PDC-092,45.7653656,4.8443823,12.0,"[[12, 20], [32.5, 44], [56.5, 68], [80.5, 92], [104.5, 116], [128.5, 140], [152.5, 164]]",10,2022-11-22,0
BIOCOOP BROTTEAUX, BIOCOOP BROTTEAUX PDC-095,45.7641615,4.8581132,12.0,"[[8, 14], [16, 19], [32, 38], [40, 43], [56, 62], [64, 67], [80, 86], [88, 91], [104, 110], [112, 115], [128, 134], [136, 139], [152, 158], [160, 163]]",2,2023-01-02,0
BIOCOOP LE VERT DE TERRE, BIOCOOP LE VERT DE TERRE (AMBERIEU) PDC-096,45.9729539,5.352279,30.0,"[[8.5, 19], [32.5, 43], [56.5, 67], [80.5, 91], [104.5, 115], [128.5, 139], [152.5, 163]]",29,2022-11-23,0
BIOCOOP DES MONTS D'OR, BIOCOOP DES MONTS D'OR PDC-097,45.8038787,4.7835333,20.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]",8,2022-12-20,0
LE BOUC ET LA TREILLE, LE BOUC ET LA TREILLE PDC-098,45.862272,4.79819973076923,30.0,"[[89, 91], [113, 115], [130, 132.5]]",12,2022-11-09,0
BIOCOOP LA CACAMERLOTTE, BIOCOOP LA CACAMERLOTTE PDC-099,45.4263138,4.0643904,20.0,"[[10, 19], [33, 43], [57, 67], [81, 91], [104, 115], [129, 139]]",5,2022-12-16,0
LA VIE CLAIRE BRON GENAS, LA VIE CLAIRE BRON GENAS PDC-101,45.7524626,4.8992542,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",6,2022-10-28,0
LA VIE CLAIRE LYON POINT DU JOUR, LA VIE CLAIRE LYON POINT DU JOUR PDC-102,45.756276,4.7980177,12.0,"[[8.5, 19.5], [32.5, 43.5], [56.5, 67.5], [80.5, 91.5], [104.5, 115.5], [128.5, 139.5], [152.5, 156.5]]",0,2022-12-29,0
LA VIE CLAIRE LYON VAISE, LA VIE CLAIRE LYON VAISE PDC-103,45.7717081,4.8052583,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
LA VIE CLAIRE BRIGNAIS, LA VIE CLAIRE BRIGNAIS PDC-104,45.6801938,4.7746187,15.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",10,2022-11-09,0
LA VIE CLAIRE CRAPONNE, LA VIE CLAIRE CRAPONNE PDC-105,45.7471409,4.74327377127116,12.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 156.5]]",5,2022-08-09,0
LA GRAPPE DE CHAPONOST, LA GRAPPE DE CHAPONOST PDC-108,45.71004465,4.74539845481767,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",12,2022-11-02,0
LA CAGETTE DES GONES, LA CAGETTE DES GONES PDC-110,45.7750011,4.8284975,12.0,"[[10, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",9,2022-10-24,0
YOUSTA,YOUSTA PDC-111,45.7717191,4.8796701,12.0,"[[33.5, 43], [57.5, 67], [81.5, 91], [105.5, 115]]",8,2022-08-16,0
SAVONS & PETITS POIS, SAVONS & PETITS POIS PDC-117,45.6598295,4.5604562,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
BIOMONDE LE PANIER DU PILAT MACLAS, BIOMONDE LE PANIER DU PILAT MACLAS PDC-121,45.3614374,4.6835523,37.0,"[[8.5, 12.5], [15, 19], [32.5, 36.5], [39, 43], [56.5, 60.5], [63, 67], [80.5, 84.5], [87, 91], [104.5, 108.5], [111, 115], [128.5, 132.5], [135, 139]]",32,2022-11-04,1
AU TERROIR, AU TERROIR PDC-123,45.4429352,4.3830093,12.0,"[[31.5, 43], [55.5, 67], [103.5, 115]]",0,2023-01-06,0
LA VIE CLAIRE LYON LUMIERE, LA VIE CLAIRE LYON LUMIERE PDC-124,45.7443009,4.8699531,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
LA VIE CLAIRE LYON CHARITE, LA VIE CLAIRE LYON CHARITE PDC-125,45.7528126,4.8314755,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
LES Z'AGITEES DU BOCAL, LES Z'AGITEES DU BOCAL PDC-126,45.932872,4.958434,40.0,"[[14, 17], [32.5, 41], [56.5, 65], [80.5, 89], [104.5, 113]]",0,2023-01-08,0
SARL LE COQ EN VRAC, SARL LE COQ EN VRAC PDC-127,45.6976036,4.7671252,18.0,"[[9, 12], [14, 17], [33, 36], [38, 41], [57, 60], [62, 65], [81, 84], [86, 89], [105, 108], [110, 113]]",0,2023-01-08,0
LA VIE CLAIRE LYON LAFAYETTE, LA VIE CLAIRE LYON LAFAYETTE PDC-136,45.7638803,4.8635986,12.0,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]",0,2023-01-08,0
LA VIE CLAIRE LYON GUILLOTIERE, LA VIE CLAIRE LYON GUILLOTIERE PDC-138,45.7499076,4.8512177,12.0,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]",1,2023-01-06,0
LA VIE CLAIRE LYON GERLAND, LA VIE CLAIRE LYON GERLAND PDC-140,45.7373136,4.8324752,12.0,"[[9, 20], [33, 44], [57, 68], [81, 92], [105, 116], [129, 140]]",0,2023-01-08,0
LA VIE CLAIRE SAINT-ETIENNE, LA VIE CLAIRE SAINT-ETIENNE PDC-155,45.7312154,4.2258371,12.0,"[[8.5, 13], [14, 19.5], [32.5, 37], [38, 43.5], [56.5, 61], [62, 67.5], [80.5, 85], [86, 91.5], [104.5, 109], [110, 115.5], [128.5, 133], [134, 139.5]]",0,2023-01-08,0
LA VIE CLAIRE VILLEURBANNE SALENGRO, LA VIE CLAIRE VILLEURBANNE SALENGRO PDC-161,45.7822474,4.8889878,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
MA PETITE FOURMI,MA PETITE FOURMI PDC-175,45.7683367,4.8342454,0.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
BRASSERIE LA CANAILLE,LA CANAILLE,45.7340186,3.9695243,0.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",0,2023-01-08,0
