Name,Adresse 1,Adresse 2,Code Postal,Ville,Dép.,Nb Casiers,Heure d'ouverture collecte,latitude,longitude,quantity,request,lastCollect,hours,keep
UN GRAIN DANS LE GRENIER,1 rue du Mail,,69004,LYON,RHÔNE,4,,45.7763659,4.8329949,0,1,3,"[[9, 12], [18, 19], [20, 21]]",True
L'EPICERIE DES HALLES,23 Rue de la Martinière,,69001,LYON,RHÔNE,4,,45.7683907,4.8295934,1,0,1,"[[9, 11], [15, 17], [20, 22]]",True
L’EAU VIVE FELIX FAURE,84 avenue Félix Faure,,69003,LYON,RHÔNE,12,,45.753205,4.8566897,7,1,2,"[[8, 17]]",True
L’EAU VIVE FRANKLIN ROOSEVELT,58 cours Franklin Roosevelt,,69006,LYON,RHÔNE,12,,45.7691119,4.8498692,8,0,3,"[[10, 12], [19, 21]]",True
TOUT PART EN VRAC CRAPONNE,105b avenue Edouard Millaud,,69290,CRAPONNE,RHÔNE,12,,45.7473393,4.7280513,6,0,2,"[[7, 8], [10, 20]]",True
LA VIE CLAIRE LYON CHARITE,40 rue de la Charité,,69002,LYON,RHÔNE,12,,45.7528126,4.8314755,2,0,4,"[[6, 9], [14, 16], [18, 19]]",True
LA VIE CLAIRE LYON GENTIL,12 rue Gentil,,69002,LYON,RHÔNE,12,8h - 20h,45.7648839,4.8364865,10,0,4,"[[8, 10], [11, 12], [21, 22]]",True
LA VIE CLAIRE LYON VENDOME,125 rue Vendôme,,69006,LYON,RHÔNE,12,"De préférence entre 13h et 15H. Sinon, horaires d'ouverture",45.7669768,4.8457192,11,0,4,"[[10, 12], [21, 22]]",True
LA VIE CLAIRE LYON POINT DU JOUR,87 avenue Point du Jour,,69005,LYON,RHÔNE,12,,45.756276,4.7980177,5,0,4,"[[10, 12]]",True
LA VIE CLAIRE LYON ANDRE PHILIP,183 rue André Philip,,69003,LYON,RHÔNE,12,entre 9 et 12H ou 14h et 19h,45.7616815,4.850553,9,0,1,"[[8, 12], [18, 21]]",True
LA VIE CLAIRE LYON VITTON,3 cours Vitton,,69006,LYON,RHÔNE,12,"du lundi au samedi, de 14h à 17h",45.7694259,4.850764,6,1,4,"[[10, 12], [17, 18], [22, 23]]",True
LA VIE CLAIRE LYON SAXE GAMBETTA,123 avenue Marechal de Saxe,,69003,LYON,RHÔNE,12,8h-11h ou 15h-17h,45.7572888,4.8464561,12,1,2,"[[8, 10], [19, 20]]",True
LA VIE CLAIRE LYON CROIX-ROUSSE,Place Joannes Ambre,,69004,LYON,RHÔNE,12,entre 14h et 17h,45.7813437,4.833106,8,1,3,"[[8, 10], [13, 14]]",True
LA VIE CLAIRE LYON MORISOT,9 rue Berthe Morisot,,69008,LYON,RHÔNE,12,9h-19h / éviter 12h-13h,45.7321989,4.8832794,11,0,2,"[[6, 12], [17, 19]]",True
LA VIE CLAIRE LYON ROCKEFELLER,"16, avenue Rockefeller",,69008,LYON,RHÔNE,12,9h-19h30 / éviter 12h-14h,45.7419267,4.8823591,9,0,3,"[[7, 10], [14, 16]]",True
LA VIE CLAIRE LYON LAFAYETTE,245 Cours Lafayette,,69006,LYON,RHÔNE,12,du lundi au samedi de 9h à 20h,45.7638803,4.8635986,9,1,4,"[[10, 11], [12, 23]]",True
LA VIE CLAIRE LYON UNIVERSITE,36 rue de l’Université,,69007,LYON,RHÔNE,12,"du lundi au samedi, de 9h à 20h",45.7490769,4.8419486,10,0,2,"[[9, 14]]",True
LA VIE CLAIRE LYON GUILLOTIERE,138 grande rue Guillotière,,69007,LYON,RHÔNE,12,9h-20h,45.7499076,4.8512177,3,1,3,"[[10, 12], [18, 19]]",True
LA VIE CLAIRE LYON CHARLEMAGNE,87 Bis Cours Charlemagne,,69002,LYON,RHÔNE,12,Entre 7h30 et 12h ou 14h et 17h,45.742212,4.8206596,5,1,2,"[[10, 12], [16, 21]]",True
LA VIE CLAIRE LYON VAISE,24 rue Serge Michel Berthet,,69009,LYON,RHÔNE,12,,45.7717081,4.8052583,8,0,1,"[[14, 18]]",True
LA VIE CLAIRE LYON GERLAND,8 Rue Clément Marot,,69007,LYON,RHÔNE,12,du lundi au samedi de 9h à 20h,45.7373136,4.8324752,0,1,4,"[[17, 24]]",True
LA VIE CLAIRE VILLEURBANNE DEDIEU,134 Rue Dedieu,,69100,VILLEURBANNE,RHÔNE,12,,45.7696279,4.8768108,0,0,3,"[[10, 11], [13, 21]]",True
LA VIE CLAIRE TASSIN LA DEMI LUNE,"173, avenue Charles de Gaulle",,69160,TASSIN-LA-DEMI-LUNE,RHÔNE,12,De 7h à 9h ou de 10h à 17h30,45.7584511,4.7753608,12,0,1,"[[11, 24]]",True
LA VIE CLAIRE CHAMPAGNE AU MONT D'OR,"24, avenue du Général de Gaulle",,69410,CHAMPAGNE-AU-MONT-D’OR,RHÔNE,20,de 10h30 à 19h30,45.8055476,4.7818471,20,1,2,"[[14, 21]]",True
LA VIE CLAIRE OULLINS,70 grande rue,,69600,OULLINS,RHÔNE,12,de 7h30 à 17h,45.7165371,4.8095135,5,0,4,"[[8, 11], [17, 19], [22, 23]]",True
LA VIE CLAIRE RILLIEUX LA PAPE,225 Avenue de l'Hippodrome,,69140,RILLIEUX-LA-PAPE,RHÔNE,12,entre 7h30 et 16h,45.8160943,4.8883306,7,0,4,"[[7, 8], [13, 19]]",True
LA VIE CLAIRE BRON ROOSEVELT,"158, avenue Franklin Roosevelt",,69500,BRON,RHÔNE,12,9h-19h / préférer 9h-11h ou 14h-17h,45.7329589,4.9099306,6,1,1,"[[6, 12]]",True
LA VIE CLAIRE CRAPONNE,11 avenue Edouard Millaud,,69290,CRAPONNE,RHÔNE,12,,45.7471409,4.74327377127116,0,1,2,"[[6, 19]]",True
LA VIE CLAIRE DECINES CHARPIEU,193 Avenue Jean Jaurès,,69150,DÉCINES-CHARPIEU,RHÔNE,20,"du lundi au samedi, de 8h à 19h",45.7706337,4.9564668,12,0,2,"[[15, 19]]",True
ARTISANS DU MONDE VILLEURBANNE,5 Avenue Roger Salengro,,69100,VILLEURBANNE,RHÔNE,12,,45.7745566,4.8685189,1,0,3,"[[9, 12], [18, 21]]",True
EPI C'EST BON,107 rue Laennec - 69008 Lyon,,69008,LYON,RHÔNE,5,mercredi 10h - 19h jeudi 16h - 19h vendredi 9h - 14h,45.7374578,4.8871705,4,0,2,"[[7, 11]]",True
BIOCOOP CONFLUENCE,42 cours Charlemagne,,69002,LYON,RHÔNE,15,entre 8h30 et 9h si c'est possible ce serait top !,45.7459212,4.8232943,5,1,4,"[[9, 20]]",True
BIOCOOP BIOPLAISIR CRAPONNE,12 avenue Edouard Millaud,,69290,CRAPONNE,RHÔNE,12,,45.74803315,4.74359339627283,8,0,4,"[[9, 10], [17, 21]]",True
BIOCOOP DES MONTS D'OR,16 Avenue du Général De Gaulle,,69410,CHAMPAGNE-AU-MONT-D’OR,RHÔNE,20,,45.8038787,4.7835333,2,0,4,"[[8, 9], [17, 18]]",True
BIOCOOP PORTE DES ALPES,332 Avenue du Général De Gaulle,SAS Le Refuge Bio,69500,BRON,RHÔNE,20,Lundi au vendredi : 9h30-19h30 Samedi : 9h-19h (horaires clientèle),45.7256162,4.929976,17,0,3,"[[9, 10], [11, 16], [18, 19]]",True
BIOCOOP BIOPLAISIR OULLINS,98 Grande Rue,,69600,OULLINS,RHÔNE,12,,45.7153377,4.8082655,10,0,4,"[[8, 20]]",True
LA P'TITE DISTRIB',19 boulevard Yves Farge,,69007,LYON,RHÔNE,12,10h – 19h30 le lundi et 9h – 19h30 du mardi au samedi,45.7434546,4.8346996,7,1,4,"[[8, 11], [12, 16], [18, 20]]",True
LA CAGETTE DES GONES,7 rue Perrod,,69004,LYON,RHÔNE,12,pas le lundi matin jusquà 1Oh.,45.7750011,4.8284975,5,0,3,"[[10, 12], [15, 16], [20, 21]]",True
MAISON POCHAT LYON 2,2 Place Carnot,,69002,LYON,RHÔNE,12,"07h30, tous les jours, dimanche compris",45.7518299,4.8278101,10,1,3,"[[8, 12], [18, 21]]",True
YOUSTA,Rue Léon Chomel,,69100,VILLEURBANNE,RHÔNE,12,mardi au vendredi à partir de 9h30,45.7717191,4.8796701,11,0,4,"[[6, 7], [11, 19]]",True
BIOCOOP JULES GUESDE,Place Jules Guesde,,69007,LYON,RHÔNE,12,lundi au vendredi entre 8 et 14h et entre 16 et 19h30,45.7470273,4.8377929,3,1,3,"[[8, 11], [20, 21]]",True
LA GRAPPE DE CHAPONOST,8 Place Maréchal Foch,,69630,CHAPONOST,RHÔNE,12,,45.71004465,4.74539845481767,10,0,2,"[[6, 11]]",True
BIOCOOP MERMOZ,45 avenue Jean Mermoz,,69008,LYON,RHÔNE,20,"plutôt le mardi ou jeudi à partir de 8h, sinon à partir de 9h les autres jours.",45.7350081,4.8743164,20,1,4,"[[13, 16]]",True
MADEMOISELLE VRAC LYON 9,35 grande rue de Vaise,,69009,LYON,RHÔNE,12,,45.7741564,4.8079347,11,1,2,"[[8, 12], [17, 20]]",True
BIOCOOP BIOPLAISIR SAINTE-FOY,43 grande rue,,69110,SAINTE-FOY-LÈS-LYON,RHÔNE,12,,45.7338925,4.8038626,9,0,3,"[[7, 11], [19, 21]]",True
BIOCOOP MAURICETTE,40 avenue de Saxe,,69006,LYON,RHÔNE,12,8H30 - 20H00 sauf lundi 12H - 20H,45.7653656,4.8443823,1,1,1,"[[9, 10], [11, 16], [19, 21]]",True
LA VIE CLAIRE VILLEURBANNE SOIE,45 rue de la soie,,69100,VILLEURBANNE,RHÔNE,12,"du lundi au samedi, de 8h à 19h",45.761508,4.9187213,12,0,3,"[[6, 9], [20, 21]]",True
LA VIE CLAIRE BRON GENAS,248 Rte de Genas,,69500,BRON,RHÔNE,12,,45.7524626,4.8992542,3,0,3,"[[6, 9], [16, 21]]",True
U EXPRESS LYON UNIVERSITE,72 RUE DE MARSEILLE,,69007,LYON,RHÔNE,12,,45.7499387,4.8388102,0,0,3,"[[6, 11], [12, 16]]",True
LA FOURMI GUILLOTIERE,21 cours Gambetta,,69003,LYON,RHÔNE,20,,45.7550341,4.8440822,6,0,2,"[[8, 10], [18, 20]]",True
LA FOURMI TERREAUX,8 rue Terme,,69001,LYON,RHÔNE,0,,45.7687125,4.8316367,0,0,2,"[[8, 19]]",True
LA FOURMI VALMY,47 rue Marietton,,69009,LYON,RHÔNE,0,,45.7755115,4.8031552,0,1,3,"[[10, 12], [17, 19], [21, 22]]",True
SARL LE COQ EN VRAC,01 ALLEE GAY LUSSAC,BIG BOX SELFSTOCKAGE,69230,SAINT-GENIS LAVAL,RHÔNE,18,DU LUNDI AU VENDREDI DE 09H00 A 12H00 ET DE 14H00 A 17H00,45.6976036,4.7671252,15,1,3,"[[9, 11], [14, 21]]",True
LA VIE CLAIRE LYON LUMIERE,101 avenue des frères lumières,,69008,LYON,RHÔNE,12,,45.7443009,4.8699531,5,1,2,"[[7, 8], [9, 14], [21, 22]]",True
LA VIE CLAIRE VILLEURBANNE SALENGRO,208 Avenue Roger Salengro,,69100,VILLEURBANNE,RHÔNE,12,de 8h à 19h,45.7822474,4.8889878,9,1,4,"[[6, 9], [20, 21]]",True
MA PETITE FOURMI,16 RUE ROMARIN,,69001,LYON,RHÔNE,0,,45.7683367,4.8342454,0,1,3,"[[6, 10], [14, 16], [20, 21]]",True
LA VIE CLAIRE LYON CHALLEMEL,5 rue challemel lacour,,69007,LYON,RHÔNE,12,,45.7298667,4.8310584,12,1,1,"[[9, 11], [16, 20]]",True
