nom,ville,capacite,latitude,longitude,quantite,requete,derniere collecte,horaires
BIOCOOP DU LEMAN,SEGNY,50,46.2942552,6.0768246,0,0,4,"[[10, 12]]"
BIOCOOP BIOGONE,VILLEURBANNE,12,45.7740508,4.8699867,3,2,1,"[[7, 9], [15, 21]]"
BIOCOOP TOTEM,VILLEURBANNE,12,45.763529,4.8725306,7,1,1,"[[6, 8]]"
BIOCOOP DU GROS CAILLOU,LYON,18,45.7749549,4.8335813,12,1,3,"[[10, 21]]"
BIOCOOP TERREAUX,LYON,20,45.767359,4.8310335,15,0,3,"[[6, 12], [17, 20]]"
BIOCOOP VALMY,LYON,20,45.7756018,4.8037413,1,0,3,"[[16, 24]]"
BIOMONDE LE PANIER DU PILAT SAINT-MICHEL,SAINT-MICHEL-SUR-RHONE,10,45.4458261,4.7529173,5,1,1,"[[7, 9], [15, 18]]"
BIOMONDE LE PANIER DU PILAT PELUSSIN,PÉLUSSIN,3,45.4195758,4.6747659,3,0,4,"[[10, 12], [13, 22]]"
BIOMONDE LE PANIER DU PILAT MACLAS,MACLAS,37,45.3614374,4.6835523,16,3,3,"[[6, 11], [20, 22]]"
L'EPICERIE DE LEONIE,RILLIEUX-LA-PAPE,12,45.8066949,4.8893931,7,0,4,"[[8, 12], [19, 20]]"
UN GRAIN DANS LE GRENIER,LYON,4,45.7763659,4.8329949,0,1,3,"[[9, 12], [18, 19], [20, 21]]"
L'EPICERIE DES HALLES,LYON,4,45.7683907,4.8295934,1,0,1,"[[9, 11], [15, 17], [20, 22]]"
L’EAU VIVE FELIX FAURE,LYON,12,45.753205,4.8566897,7,1,2,"[[8, 17]]"
L’EAU VIVE FRANKLIN ROOSEVELT,LYON,12,45.7691119,4.8498692,8,0,3,"[[10, 12], [19, 21]]"
SAVONS & PETITS POIS,SAINT-MARTIN-EN-HAUT,20,45.6598295,4.5604562,15,0,1,"[[10, 11], [15, 20]]"
TOUT PART EN VRAC CRAPONNE,CRAPONNE,12,45.7473393,4.7280513,6,0,2,"[[7, 8], [10, 20]]"
LA VIE CLAIRE LYON CHARITE,LYON,12,45.7528126,4.8314755,2,0,4,"[[6, 9], [14, 16], [18, 19]]"
LA VIE CLAIRE LYON GENTIL,LYON,12,45.7648839,4.8364865,10,0,4,"[[8, 10], [11, 12], [21, 22]]"
LA VIE CLAIRE LYON VENDOME,LYON,12,45.7669768,4.8457192,11,0,4,"[[10, 12], [21, 22]]"
LA VIE CLAIRE LYON POINT DU JOUR,LYON,12,45.756276,4.7980177,5,0,4,"[[10, 12]]"
LA VIE CLAIRE LYON ANDRE PHILIP,LYON,12,45.7616815,4.850553,9,0,1,"[[8, 12], [18, 21]]"
LA VIE CLAIRE LYON VITTON,LYON,12,45.7694259,4.850764,6,1,4,"[[10, 12], [17, 18], [22, 23]]"
LA VIE CLAIRE LYON SAXE GAMBETTA,LYON,12,45.7572888,4.8464561,12,1,2,"[[8, 10], [19, 20]]"
LA VIE CLAIRE LYON CROIX-ROUSSE,LYON,12,45.7813437,4.833106,8,1,3,"[[8, 10], [13, 14]]"
LA VIE CLAIRE LYON MORISOT,LYON,12,45.7321989,4.8832794,11,0,2,"[[6, 12], [17, 19]]"
LA VIE CLAIRE LYON ROCKEFELLER,LYON,12,45.7419267,4.8823591,9,0,3,"[[7, 10], [14, 16]]"
LA VIE CLAIRE LYON LAFAYETTE,LYON,12,45.7638803,4.8635986,9,1,4,"[[10, 11], [12, 23]]"
LA VIE CLAIRE LYON UNIVERSITE,LYON,12,45.7490769,4.8419486,10,0,2,"[[9, 14]]"
LA VIE CLAIRE LYON GUILLOTIERE,LYON,12,45.7499076,4.8512177,3,1,3,"[[10, 12], [18, 19]]"
LA VIE CLAIRE LYON CHARLEMAGNE,LYON,12,45.742212,4.8206596,5,1,2,"[[10, 12], [16, 21]]"
LA VIE CLAIRE LYON VAISE,LYON,12,45.7717081,4.8052583,8,0,1,"[[14, 18]]"
LA VIE CLAIRE LYON GERLAND,LYON,12,45.7373136,4.8324752,0,1,4,"[[17, 24]]"
LA VIE CLAIRE VILLEURBANNE DEDIEU,VILLEURBANNE,12,45.7696279,4.8768108,0,0,3,"[[10, 11], [13, 21]]"
LA VIE CLAIRE TASSIN LA DEMI LUNE,TASSIN-LA-DEMI-LUNE,12,45.7584511,4.7753608,12,0,1,"[[11, 24]]"
LA VIE CLAIRE CHAMPAGNE AU MONT D'OR,CHAMPAGNE-AU-MONT-D’OR,20,45.8055476,4.7818471,20,1,2,"[[14, 21]]"
LA VIE CLAIRE OULLINS,OULLINS,12,45.7165371,4.8095135,5,0,4,"[[8, 11], [17, 19], [22, 23]]"
LA VIE CLAIRE RILLIEUX LA PAPE,RILLIEUX-LA-PAPE,12,45.8160943,4.8883306,7,0,4,"[[7, 8], [13, 19]]"
LA VIE CLAIRE BRON ROOSEVELT,BRON,12,45.7329589,4.9099306,6,1,1,"[[6, 12]]"
LA VIE CLAIRE CRAPONNE,CRAPONNE,12,45.7471409,4.74327377127116,0,1,2,"[[6, 19]]"
LA VIE CLAIRE BRIGNAIS,BRIGNAIS,15,45.6801938,4.7746187,0,0,1,"[[6, 7], [9, 18]]"
LA VIE CLAIRE GENAY,GENAY,16,45.88943795,4.82823196359431,10,0,1,"[[7, 9], [17, 19]]"
LA VIE CLAIRE GIVORS,GIVORS,20,45.5829312,4.7460791,10,1,3,"[[8, 10], [15, 16]]"
LA VIE CLAIRE VILLEFRANCHE-SUR-SAÔNE,VILLEFRANCHE-SUR-SAÔNE,20,45.980789,4.3339739,17,0,2,"[[8, 9], [20, 21]]"
LA VIE CLAIRE SAINTE-COLOMBE,SAINTE-COLOMBE,20,45.5239636,4.867029,8,0,1,"[[6, 8], [10, 13]]"
LA VIE CLAIRE TARARE,TARARE,30,45.8886231,4.4553531,22,0,1,"[[6, 9]]"
LA VIE CLAIRE BELLEVILLE-EN-BEAUJOLAIS,BELLEVILLE-EN-BEAUJOLAIS,20,46.10211335,4.74871063155523,16,1,1,"[[8, 11], [12, 19]]"
LA VIE CLAIRE AMPLEPUIS,AMPLEPUIS,0,45.980789,4.3339739,0,1,2,"[[6, 7], [19, 21]]"
LA VIE CLAIRE AMBERIEU-EN-BUGEY,AMBERIEU-EN-BUGEY,20,45.9820929,5.3473881,20,0,1,"[[8, 10], [17, 19]]"
LA VIE CLAIRE BEYNOST,BEYNOST,15,45.8220345,4.9940580184434,11,0,1,"[[10, 11], [18, 19], [21, 22]]"
LA VIE CLAIRE  SAINT PRIEST EN JAREZ,SAINT-PRIEST-EN-JAREZ,12,45.4734424,4.3831912,1,0,4,"[[10, 11], [18, 19]]"
LA VIE CLAIRE ANDREZIEUX BOUTHEON,ANDRÉZIEUX-BOUTHÉON,12,45.5232425,4.2931157,6,0,3,"[[10, 12], [19, 21]]"
LA VIE CLAIRE SAINT-ETIENNE,SAINT-ETIENNE,12,45.7312154,4.2258371,6,1,3,"[[6, 9], [14, 20]]"
LA VIE CLAIRE OYONNAX,OYONNAX,20,46.2681355,5.654079,7,0,1,"[[8, 9], [10, 19]]"
LA VIE CLAIRE FERNEY VOLTAIRE,FERNEY-VOLTAIRE,25,46.2452587,6.0955822,17,0,2,"[[7, 11]]"
LA VIE CLAIRE ST GENIS POUILLY,SAINT-GENIS-POUILLY,25,46.2586395,6.0291085,21,0,3,"[[10, 13]]"
LA VIE CLAIRE DECINES CHARPIEU,DÉCINES-CHARPIEU,20,45.7706337,4.9564668,12,0,2,"[[15, 19]]"
ARTISANS DU MONDE VILLEURBANNE,VILLEURBANNE,12,45.7745566,4.8685189,1,0,3,"[[9, 12], [18, 21]]"
VRAC EN VERT,SAINT-ETIENNE,12,45.4389411,4.392083,4,0,4,"[[11, 16]]"
BIOCOOP OYONNAX,ARBENT,50,46.2738272,5.6604326,6,1,3,"[[16, 17]]"
BIOCOOP VALSERINE,VALSERHÔNE,50,46.12815445,5.8128477392148,2,0,1,"[[7, 12], [16, 21]]"
EPI C'EST BON,LYON,5,45.7374578,4.8871705,4,0,2,"[[7, 11]]"
BIOCOOP CONFLUENCE,LYON,15,45.7459212,4.8232943,5,1,4,"[[9, 20]]"
BIOCOOP DU VAL D'AZERGUES,CIVRIEUX-D’AZERGUES,30,45.8568315,4.7039802,14,0,1,"[[8, 9], [19, 20]]"
BIOCOOP ANDREZIEUX (BIOCOCCINELLE),ANDRÉZIEUX-BOUTHÉON,20,45.5331756,4.2863538,0,0,4,"[[6, 9], [16, 21]]"
BIOCOOP BIOPLAISIR CRAPONNE,CRAPONNE,12,45.74803315,4.74359339627283,8,0,4,"[[9, 10], [17, 21]]"
BIOCOOP LE MONDE ALLANT VERT,VILLEFRANCHE-SUR-SAÔNE,40,45.9842214,4.742697,35,1,2,"[[8, 11], [13, 19]]"
BIOCOOP DES MONTS D'OR,CHAMPAGNE-AU-MONT-D’OR,20,45.8038787,4.7835333,2,0,4,"[[8, 9], [17, 18]]"
BIOCOOP PORTE DES ALPES,BRON,20,45.7256162,4.929976,17,0,3,"[[9, 10], [11, 16], [18, 19]]"
BIOCOOP BIOPLAISIR OULLINS,OULLINS,12,45.7153377,4.8082655,10,0,4,"[[8, 20]]"
AU COMPTOIR DE BETTY,MARCY-L'ETOILE,12,45.7827661,4.707723,12,1,3,"[[7, 8], [11, 20]]"
MON CABAS VERT,GENAS,12,45.7240322,4.9775483,12,0,2,"[[7, 10], [11, 20]]"
LE FOURNIL DU ROCHER,SAINT-SORLIN-EN-BUGEY,5,45.884815,5.371704,4,0,2,"[[10, 16]]"
VIRAGE SEPT BRASSERIE,L'ARBRESLE,21,45.8306222,4.6132988,1,1,1,"[[6, 13]]"
LA P'TITE DISTRIB',LYON,12,45.7434546,4.8346996,7,1,4,"[[8, 11], [12, 16], [18, 20]]"
MES BIERES PRECIEUSES,CURIS-AU-MONT-D'OR,30,45.8732697,4.8175453,18,2,3,"[[8, 10], [14, 18], [20, 21]]"
LA CAGETTE DES GONES,LYON,12,45.7750011,4.8284975,5,0,3,"[[10, 12], [15, 16], [20, 21]]"
LES Z'AGITEES DU BOCAL,SAINT-ANDRE-DE-CORCY,40,45.932872,4.958434,20,0,2,"[[10, 12], [17, 19]]"
LA PORTION,SAINT-ETIENNE,12,45.4517105,4.3826823,10,0,4,"[[7, 9], [16, 19]]"
MAISON POCHAT LYON 2,LYON,12,45.7518299,4.8278101,10,1,3,"[[8, 12], [18, 21]]"
BIOCOOP BEYNOST (LA BIO SEREINE),BEYNOST,40,45.8262854,4.9991231,0,1,2,"[[10, 21]]"
BIOCOOP LA CACAMERLOTTE,SAINT-BONNET-LE-CHÂTEAU,20,45.4263138,4.0643904,4,0,4,"[[9, 12], [14, 16]]"
YOUSTA,VILLEURBANNE,12,45.7717191,4.8796701,11,0,4,"[[6, 7], [11, 19]]"
BIOCOOP AU GRAND BIONHEUR,SAINT-CHAMOND,24,45.459408,4.489695,8,3,1,"[[10, 11], [14, 15]]"
BIOCOOP JULES GUESDE,LYON,12,45.7470273,4.8377929,3,1,3,"[[8, 11], [20, 21]]"
LA GRAPPE DE CHAPONOST,CHAPONOST,12,45.71004465,4.74539845481767,10,0,2,"[[6, 11]]"
LA CABANE A BIERES (LA FARLODOISE),CHAZELLES-SUR-LYON,12,45.6346248,4.3990103,3,0,1,"[[16, 17]]"
LA VIE CLAIRE CHARLIEU,SAINT-NIZIER-SOUS-CHARLIEU,20,46.1532627,4.15607273286814,19,0,4,"[[9, 10], [15, 20]]"
BIOCOOP MERMOZ,LYON,20,45.7350081,4.8743164,20,1,4,"[[13, 16]]"
AU TERROIR,SAINT-ETIENNE,12,45.4429352,4.3830093,4,1,4,"[[7, 9], [20, 22]]"
MADEMOISELLE VRAC LYON 9,LYON,12,45.7741564,4.8079347,11,1,2,"[[8, 12], [17, 20]]"
CARIBREW,SOUCIEU-EN-JARREST,0,45.688383,4.7016421,0,0,4,"[[13, 15]]"
BIOCOOP BIOPLAISIR SAINTE-FOY,SAINTE-FOY-LÈS-LYON,12,45.7338925,4.8038626,9,0,3,"[[7, 11], [19, 21]]"
BIOCOOP MAURICETTE,LYON,12,45.7653656,4.8443823,1,1,1,"[[9, 10], [11, 16], [19, 21]]"
LA VIE CLAIRE VILLEURBANNE SOIE,VILLEURBANNE,12,45.761508,4.9187213,12,0,3,"[[6, 9], [20, 21]]"
LE BOUC ET LA TREILLE,POLEYMIEUX-AU-MONT-D’OR,30,45.862272,4.79819973076923,9,0,1,"[[10, 11], [14, 18]]"
LA VIE CLAIRE BRON GENAS,BRON,12,45.7524626,4.8992542,3,0,3,"[[6, 9], [16, 21]]"
U EXPRESS LYON UNIVERSITE,LYON,12,45.7499387,4.8388102,0,0,3,"[[6, 11], [12, 16]]"
LA FOURMI GUILLOTIERE,LYON,20,45.7550341,4.8440822,6,0,2,"[[8, 10], [18, 20]]"
LA FOURMI TERREAUX,LYON,0,45.7687125,4.8316367,0,0,2,"[[8, 19]]"
LA FOURMI VALMY,LYON,0,45.7755115,4.8031552,0,1,3,"[[10, 12], [17, 19], [21, 22]]"
BRASSERIE DU PILAT,SAINT-JULIEN-MOLIN-MOLETTE,0,45.3184424,4.6307158,0,0,3,"[[10, 12]]"
SARL LE COQ EN VRAC,SAINT-GENIS LAVAL,18,45.6976036,4.7671252,15,1,3,"[[9, 11], [14, 21]]"
LA VIE CLAIRE LYON LUMIERE,LYON,12,45.7443009,4.8699531,5,1,2,"[[7, 8], [9, 14], [21, 22]]"
LA VIE CLAIRE VILLEURBANNE SALENGRO,VILLEURBANNE,12,45.7822474,4.8889878,9,1,4,"[[6, 9], [20, 21]]"
LA VIE CLAIRE LE COTEAU,LE COTEAU,20,46.0151756,4.0959075,8,0,1,"[[10, 20]]"
DAY BY DAY BOURG-EN-BRESSE,BOURG-EN-BRESSE,12,46.2227456,5.2510989,12,0,2,"[[9, 10], [16, 21]]"
LA VIE CLAIRE MABLY,MABLY,20,46.0681814,4.0494242,2,0,4,"[[14, 23]]"
MA PETITE FOURMI,LYON,0,45.7683367,4.8342454,0,1,3,"[[6, 10], [14, 16], [20, 21]]"
BRASSERIE LA CANAILLE,SAIL-SOUS-COUZAN,0,45.7340186,3.9695243,0,0,4,"[[7, 12], [19, 20]]"
LA VIE CLAIRE LYON CHALLEMEL,LYON,12,45.7298667,4.8310584,12,1,1,"[[9, 11], [16, 20]]"
